match_id,tournament_id,team_id,player_id,shirt_number,position_name,position_code,starter,substitute,captain
M-1970-01,WC-1970,T-44,P-02951,1,goal keeper,GK,1,0,0
M-1970-01,WC-1970,T-44,P-09033,3,defender,DF,1,0,1
M-1970-01,WC-1970,T-44,P-02770,5,defender,DF,1,0,0
M-1970-01,WC-1970,T-44,P-04709,6,midfielder,MF,1,0,0
M-1970-01,WC-1970,T-44,P-01956,10,forward,FW,1,0,0
M-1970-01,WC-1970,T-44,P-04009,13,defender,DF,1,0,0
M-1970-01,WC-1970,T-44,P-01353,14,defender,DF,1,0,0
M-1970-01,WC-1970,T-44,P-02554,15,midfielder,MF,1,0,0
M-1970-01,WC-1970,T-44,P-07267,18,midfielder,MF,1,0,0
M-1970-01,WC-1970,T-44,P-07033,19,forward,FW,1,0,0
M-1970-01,WC-1970,T-44,P-04083,21,forward,FW,1,0,0
M-1970-01,WC-1970,T-44,P-00927,8,midfielder,MF,0,1,0
M-1970-01,WC-1970,T-69,P-02907,2,goal keeper,GK,1,0,0
M-1970-01,WC-1970,T-69,P-02123,5,defender,DF,1,0,0
M-1970-01,WC-1970,T-69,P-00603,6,defender,DF,1,0,0
M-1970-01,WC-1970,T-69,P-04868,7,defender,DF,1,0,0
M-1970-01,WC-1970,T-69,P-07920,9,defender,DF,1,0,1
M-1970-01,WC-1970,T-69,P-07448,11,midfielder,MF,1,0,0
M-1970-01,WC-1970,T-69,P-07726,14,midfielder,MF,1,0,0
M-1970-01,WC-1970,T-69,P-04344,15,midfielder,MF,1,0,0
M-1970-01,WC-1970,T-69,P-07069,16,forward,FW,1,0,0
M-1970-01,WC-1970,T-69,P-02534,17,forward,FW,1,0,0
M-1970-01,WC-1970,T-69,P-07350,19,forward,FW,1,0,0
M-1970-01,WC-1970,T-69,P-07073,20,forward,FW,0,1,0
M-1970-01,WC-1970,T-69,P-09955,21,forward,FW,0,1,0
M-1970-02,WC-1970,T-80,P-04514,1,goal keeper,GK,1,0,0
M-1970-02,WC-1970,T-80,P-00471,2,defender,DF,1,0,0
M-1970-02,WC-1970,T-80,P-05250,3,defender,DF,1,0,0
M-1970-02,WC-1970,T-80,P-02103,4,defender,DF,1,0,0
M-1970-02,WC-1970,T-80,P-06095,5,midfielder,MF,1,0,0
M-1970-02,WC-1970,T-80,P-02448,6,defender,DF,1,0,0
M-1970-02,WC-1970,T-80,P-05958,7,midfielder,MF,1,0,0
M-1970-02,WC-1970,T-80,P-05145,8,midfielder,MF,1,0,1
M-1970-02,WC-1970,T-80,P-06766,9,forward,FW,1,0,0
M-1970-02,WC-1970,T-80,P-06360,10,midfielder,MF,1,0,0
M-1970-02,WC-1970,T-80,P-05594,21,midfielder,MF,1,0,0
M-1970-02,WC-1970,T-80,P-08635,20,forward,FW,0,1,0
M-1970-02,WC-1970,T-38,P-04750,1,goal keeper,GK,1,0,0
M-1970-02,WC-1970,T-38,P-02541,4,defender,DF,1,0,0
M-1970-02,WC-1970,T-38,P-06146,5,defender,DF,1,0,0
M-1970-02,WC-1970,T-38,P-04605,6,midfielder,MF,1,0,0
M-1970-02,WC-1970,T-38,P-06408,7,midfielder,MF,1,0,0
M-1970-02,WC-1970,T-38,P-08139,8,midfielder,MF,1,0,0
M-1970-02,WC-1970,T-38,P-03770,9,forward,FW,1,0,0
M-1970-02,WC-1970,T-38,P-04002,10,midfielder,MF,1,0,1
M-1970-02,WC-1970,T-38,P-04562,12,defender,DF,1,0,0
M-1970-02,WC-1970,T-38,P-09503,14,defender,DF,1,0,0
M-1970-02,WC-1970,T-38,P-09513,15,forward,FW,1,0,0
M-1970-02,WC-1970,T-38,P-03139,2,defender,DF,0,1,0
M-1970-02,WC-1970,T-38,P-00151,16,defender,DF,0,1,0
M-1970-03,WC-1970,T-27,P-09652,1,goal keeper,GK,1,0,0
M-1970-03,WC-1970,T-27,P-01596,2,right back,RB,1,0,0
M-1970-03,WC-1970,T-27,P-01992,3,left back,LB,1,0,0
M-1970-03,WC-1970,T-27,P-01041,4,defensive midfielder,DM,1,0,0
M-1970-03,WC-1970,T-27,P-03127,5,center back,CB,1,0,0
M-1970-03,WC-1970,T-27,P-05905,6,center back,CB,1,0,1
M-1970-03,WC-1970,T-27,P-01479,7,center forward,CF,1,0,0
M-1970-03,WC-1970,T-27,P-05909,8,center midfielder,CM,1,0,0
M-1970-03,WC-1970,T-27,P-00227,9,attacking midfielder,AM,1,0,0
M-1970-03,WC-1970,T-27,P-03234,10,center forward,CF,1,0,0
M-1970-03,WC-1970,T-27,P-01405,11,center midfielder,CM,1,0,0
M-1970-03,WC-1970,T-27,P-02037,14,defender,DF,0,1,0
M-1970-03,WC-1970,T-27,P-04038,20,forward,FW,0,1,0
M-1970-03,WC-1970,T-58,P-08971,2,right back,RB,1,0,0
M-1970-03,WC-1970,T-58,P-09486,3,center back,CB,1,0,0
M-1970-03,WC-1970,T-58,P-04138,4,left back,LB,1,0,0
M-1970-03,WC-1970,T-58,P-05960,5,center back,CB,1,0,0
M-1970-03,WC-1970,T-58,P-09452,7,center forward,CF,1,0,0
M-1970-03,WC-1970,T-58,P-04515,9,center forward,CF,1,0,0
M-1970-03,WC-1970,T-58,P-05240,10,attacking midfielder,AM,1,0,0
M-1970-03,WC-1970,T-58,P-02629,11,right winger,RW,1,0,1
M-1970-03,WC-1970,T-58,P-07538,15,defensive midfielder,DM,1,0,0
M-1970-03,WC-1970,T-58,P-02723,17,left winger,LW,1,0,0
M-1970-03,WC-1970,T-58,P-00659,21,goal keeper,GK,1,0,0
M-1970-03,WC-1970,T-58,P-09792,16,forward,FW,0,1,0
M-1970-04,WC-1970,T-54,P-05002,1,goal keeper,GK,1,0,0
M-1970-04,WC-1970,T-54,P-09034,2,defender,DF,1,0,0
M-1970-04,WC-1970,T-54,P-01044,3,defender,DF,1,0,0
M-1970-04,WC-1970,T-54,P-08318,4,defender,DF,1,0,1
M-1970-04,WC-1970,T-54,P-07616,5,defender,DF,1,0,0
M-1970-04,WC-1970,T-54,P-03597,6,midfielder,MF,1,0,0
M-1970-04,WC-1970,T-54,P-05315,7,midfielder,MF,1,0,0
M-1970-04,WC-1970,T-54,P-05550,8,forward,FW,1,0,0
M-1970-04,WC-1970,T-54,P-09528,9,forward,FW,1,0,0
M-1970-04,WC-1970,T-54,P-01348,10,forward,FW,1,0,0
M-1970-04,WC-1970,T-54,P-02248,11,forward,FW,1,0,0
M-1970-04,WC-1970,T-54,P-02141,15,midfielder,MF,0,1,0
M-1970-04,WC-1970,T-54,P-00655,20,forward,FW,0,1,0
M-1970-04,WC-1970,T-10,P-07197,1,goal keeper,GK,1,0,0
M-1970-04,WC-1970,T-10,P-04759,2,defender,DF,1,0,0
M-1970-04,WC-1970,T-10,P-04461,3,defender,DF,1,0,1
M-1970-04,WC-1970,T-10,P-07911,4,defender,DF,1,0,0
M-1970-04,WC-1970,T-10,P-08049,5,defender,DF,1,0,0
M-1970-04,WC-1970,T-10,P-01517,6,midfielder,MF,1,0,0
M-1970-04,WC-1970,T-10,P-06043,7,forward,FW,1,0,0
M-1970-04,WC-1970,T-10,P-02078,8,midfielder,MF,1,0,0
M-1970-04,WC-1970,T-10,P-08505,9,forward,FW,1,0,0
M-1970-04,WC-1970,T-10,P-07239,10,midfielder,MF,1,0,0
M-1970-04,WC-1970,T-10,P-03135,11,forward,FW,1,0,0
M-1970-04,WC-1970,T-10,P-04452,18,forward,FW,0,1,0
M-1970-04,WC-1970,T-10,P-06361,19,forward,FW,0,1,0
M-1970-05,WC-1970,T-06,P-02581,1,goal keeper,GK,1,0,0
M-1970-05,WC-1970,T-06,P-00773,2,defender,DF,1,0,0
M-1970-05,WC-1970,T-06,P-02546,3,defender,DF,1,0,0
M-1970-05,WC-1970,T-06,P-08103,4,defender,DF,1,0,0
M-1970-05,WC-1970,T-06,P-06938,6,defender,DF,1,0,0
M-1970-05,WC-1970,T-06,P-00526,7,midfielder,MF,1,0,0
M-1970-05,WC-1970,T-06,P-02611,8,midfielder,MF,1,0,0
M-1970-05,WC-1970,T-06,P-06209,9,midfielder,MF,1,0,0
M-1970-05,WC-1970,T-06,P-06673,10,midfielder,MF,1,0,1
M-1970-05,WC-1970,T-06,P-04203,11,forward,FW,1,0,0
M-1970-05,WC-1970,T-06,P-08487,18,forward,FW,1,0,0
M-1970-05,WC-1970,T-06,P-03399,16,midfielder,MF,0,1,0
